0.214	1.96085	-0.030328	25.2281
0.215	1.94106	-0.0248272	25.1609
0.216	1.92153	-0.0192574	25.0939
0.217	1.90225	-0.013621	25.027
0.218	1.88321	-0.00792018	24.9603
0.219	1.86442	-0.0021572	24.8938
0.22	1.84588	0.00366579	24.8276
0.221	1.82758	0.00954668	24.7614
0.222	1.80952	0.0154834	24.6955
0.223	1.7917	0.0214741	24.6298
0.224	1.77411	0.0275166	24.5642
0.225	1.75676	0.0336092	24.4989
0.226	1.73965	0.0397501	24.4337
0.227	1.72277	0.0459374	24.3687
0.228	1.70611	0.0521694	24.3039
0.229	1.68969	0.0584444	24.2393
0.23	1.67349	0.0647609	24.1748
0.231	1.65751	0.0711172	24.1105
0.232	1.64176	0.0775118	24.0465
0.233	1.62623	0.0839432	23.9826
0.234	1.61091	0.09041	23.9188
0.235	1.59581	0.0969107	23.8553
0.236	1.58093	0.103444	23.7919
0.237	1.56626	0.110009	23.7287
0.238	1.55181	0.116604	23.6657
0.239	1.53756	0.123227	23.6029
0.24	1.52352	0.129878	23.5402
0.241	1.50969	0.136556	23.4777
0.242	1.49606	0.143259	23.4154
0.243	1.48263	0.149987	23.3533
0.244	1.4694	0.156738	23.2913
0.245	1.45638	0.163511	23.2295
0.246	1.44355	0.170306	23.1679
0.247	1.43091	0.177121	23.1064
0.248	1.41847	0.183956	23.0451
0.249	1.40622	0.19081	22.984
0.25	1.39416	0.197681	22.9231
0.251	1.38229	0.20457	22.8623
0.252	1.37061	0.211475	22.8017
0.253	1.35911	0.218396	22.7413
0.254	1.34779	0.225333	22.681
0.255	1.33666	0.232283	22.6209
0.256	1.3257	0.239248	22.561
0.257	1.31493	0.246225	22.5013
0.258	1.30433	0.253216	22.4417
0.259	1.2939	0.260219	22.3822
0.26	1.28365	0.267233	22.323
0.261	1.27357	0.274259	22.2639
0.262	1.26367	0.281295	22.2049
0.263	1.25393	0.288342	22.1461
0.264	1.24435	0.295399	22.0875
0.265	1.23495	0.302466	22.0291
0.266	1.2257	0.309542	21.9708
0.267	1.21662	0.316627	21.9127
0.268	1.2077	0.32372	21.8547
0.269	1.19894	0.330822	21.7969
0.27	1.19034	0.337933	21.7392
0.271	1.18189	0.345051	21.6817
0.272	1.1736	0.352178	21.6244
0.273	1.16547	0.359312	21.5672
0.274	1.15748	0.366453	21.5102
0.275	1.14964	0.373602	21.4534
0.276	1.14196	0.380759	21.3967
0.277	1.13442	0.387922	21.3401
0.278	1.12703	0.395093	21.2837
0.279	1.11978	0.402271	21.2275
0.28	1.11268	0.409456	21.1714
0.281	1.10572	0.416648	21.1155
0.282	1.0989	0.423847	21.0597
0.283	1.09221	0.431054	21.0041
0.284	1.08567	0.438267	20.9486
0.285	1.07927	0.445488	20.8933
0.286	1.073	0.452716	20.8382
0.287	1.06686	0.459952	20.7832
0.288	1.06086	0.467195	20.7283
0.289	1.05499	0.474446	20.6736
0.29	1.04925	0.481705	20.6191
0.291	1.04364	0.488972	20.5646
0.292	1.03815	0.496247	20.5104
0.293	1.0328	0.50353	20.4563
0.294	1.02757	0.510822	20.4023
0.295	1.02246	0.518123	20.3485
0.296	1.01748	0.525432	20.2949
0.297	1.01262	0.532751	20.2414
0.298	1.00788	0.54008	20.188
0.299	1.00326	0.547419	20.1348
0.3	0.998765	0.554767	20.0817
0.301	0.994384	0.562126	20.0288
0.302	0.990119	0.569496	19.976
0.303	0.985971	0.576877	19.9234
0.304	0.981937	0.584269	19.8709
0.305	0.978017	0.591673	19.8185
0.306	0.97421	0.599089	19.7663
0.307	0.970514	0.606517	19.7143
0.308	0.96693	0.613959	19.6624
0.309	0.963455	0.621413	19.6106
0.31	0.960088	0.628882	19.559
0.311	0.95683	0.636364	19.5075
0.312	0.953679	0.643861	19.4562
0.313	0.950633	0.651373	19.405
0.314	0.947693	0.6589	19.3539
0.315	0.944857	0.666443	19.303
0.316	0.942125	0.674002	19.2522
0.317	0.939495	0.681578	19.2016
0.318	0.936966	0.689171	19.1511
0.319	0.934538	0.696782	19.1007
0.32	0.932211	0.704411	19.0505
0.321	0.929982	0.712059	19.0004
0.322	0.927852	0.719726	18.9505
0.323	0.925819	0.727413	18.9007
0.324	0.923884	0.73512	18.851
0.325	0.922044	0.742848	18.8015
0.326	0.920299	0.750597	18.7521
0.327	0.91865	0.758368	18.7029
0.328	0.917094	0.766162	18.6538
0.329	0.915631	0.773979	18.6048
0.33	0.91426	0.78182	18.556
0.331	0.912982	0.789684	18.5073
0.332	0.911794	0.797574	18.4587
0.333	0.910697	0.805489	18.4103
0.334	0.90969	0.81343	18.362
0.335	0.908772	0.821397	18.3138
0.336	0.907942	0.829392	18.2658
0.337	0.9072	0.837415	18.2179
0.338	0.906546	0.845466	18.1702
0.339	0.905979	0.853546	18.1226
0.34	0.905497	0.861657	18.0751
0.341	0.905102	0.869797	18.0277
0.342	0.904791	0.877969	17.9805
0.343	0.904565	0.886173	17.9334
0.344	0.904423	0.894409	17.8864
0.345	0.904365	0.902678	17.8396
0.346	0.904389	0.910981	17.7929
0.347	0.904496	0.919319	17.7464
0.348	0.904685	0.927691	17.7
0.349	0.904956	0.9361	17.6537
0.35	0.905308	0.944545	17.6075
0.351	0.905741	0.953028	17.5615
0.352	0.906254	0.961549	17.5156
0.353	0.906847	0.970108	17.4698
0.354	0.907519	0.978707	17.4241
0.355	0.90827	0.987347	17.3786
0.356	0.9091	0.996027	17.3333
0.357	0.910009	1.00475	17.288
0.358	0.910995	1.01351	17.2429
0.359	0.912059	1.02232	17.1979
0.36	0.9132	1.03117	17.153
0.361	0.914418	1.04007	17.1083
0.362	0.915713	1.04901	17.0637
0.363	0.917084	1.058	17.0192
0.364	0.918531	1.06704	16.9749
0.365	0.920054	1.07612	16.9306
0.366	0.921653	1.08525	16.8865
